"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:department","oipmroot:documentType","oipmroot:foiaControlNumber","smfformreq:FoiaIdNum","oipmroot:frcRetireYear","oipmroot:nationalArchivesXfr","oipmroot:requestYear","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
647786,"GMD038030.pdf","GMD038030.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-305100 - 2000","OIPM","FOIA Request","FI-305100","FI-305100","2003","2028","2000","","GMD038030","1"
418921,"GMD038031.pdf","GMD038031.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-103928 - 2000","OIPM","FOIA Request","FI-103928","FI-103928","2003","2028","2000","","GMD038031","1"
589850,"GMD038032.pdf","GMD038032.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-287936 - 2000","OIPM","FOIA Request","FI-287936","FI-287936","2003","2028","2000","","GMD038032","1"
407911,"GMD038033.pdf","GMD038033.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-287936 - 2000","OIPM","FOIA Request","FI-287936","FI-287936","2003","2028","2000","","GMD038033","1"
1177247,"GMD038034.pdf","GMD038034.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-324619 - 2001","OIPM","FOIA Request","FI-324619","FI-324619","2004","2029","2001","","GMD038034","1"
319089,"GMD038035.pdf","GMD038035.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-326886 - 2001","OIPM","FOIA Request","FI-326886","FI-326886","2004","2029","2001","","GMD038035","1"
229224,"GMD038036.pdf","GMD038036.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-326093 - 2001","OIPM","FOIA Request","FI-326093","FI-326093","2004","2029","2001","","GMD038036","1"
129136,"GMD038037.pdf","GMD038037.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-329579 - 2001","OIPM","FOIA Request","FI-329579","FI-329579","2004","2029","2001","","GMD038037","1"
319320,"GMD038038.pdf","GMD038038.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-337167 - 2001","OIPM","FOIA Request","FI-337167","FI-337167","2004","2029","2001","","GMD038038","1"
138347,"GMD038039.pdf","GMD038039.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-337171 - 2002","OIPM","FOIA Request","FI-337171","FI-337171","2005","2030","2002","","GMD038039","1"
247714,"GMD038040.pdf","GMD038040.pdf","OIPM FOIA Requests","FOIA Request","OIPM FOIA Requests","","FI-363751 - 2002","OIPM","FOIA Request","FI-363751","FI-363751","2005","2030","2002","","GMD038040","1"
