User Name,First Name,Last Name,E-mail Address,forceReset,Password,Company,Job Title,Location,Telephone,Mobile,Skype,IM,Google User Name,Address,Address Line 2,Address Line 3,Post Code,Telephone,Fax,Email,siteid,role,groups
admin,Admin,User,email@fakeuseremail.comm,FALSE,admin,CGI Federal,Developer,Fairfax,,,,,,,,,,,,admin@nothing.com,,,
sbonham,Shawn,Bonham,sbonham@cgifederal.com,FALSE,admin,CGI Federal,Developer,Fairfax,,,,,,,,,,,,sbonham@cgifederal.com,,,ALFRESCO_ADMINISTRATORS
trajput,Tauqir,Rajput,trajput@cgifederal.com,FALSE,admin,CGI Federal,Developer,Fairfax,,,,,,,,,,,,trajput@cgifederal.com,,,ALFRESCO_ADMINISTRATORS
cmunshi,Cyrus,Munshi,cmunshi@cgifederal.com,FALSE,admin,CGI Federal,Developer,Fairfax,,,,,,,,,,,,cmunshi@cgifederal.com,,,ALFRESCO_ADMINISTRATORS
GNMA_COLLABORATOR,GNMA,COLLABORATOR,email@fakeuseremail.comm,FALSE,Test#123,Ginnie Mae,Collaborator,Fairfax,,,,,,,,,,,,gnma.user@nothing.com,,,"GROUP_GNMA_APM_COLLABORATOR,site_ginnie-mae-public_SiteConsumer"
GNMA_CONSUMER,GNMA,CONSUMER,email@fakeuseremail.comm,FALSE,Test#123,Ginnie Mae,Consumer,Fairfax,,,,,,,,,,,,gnma.user@nothing.com,,,"GROUP_GNMA_APM_CONSUMER,site_ginnie-mae-public_SiteConsumer"
GNMA_CONTRIBUTOR,GNMA,CONTRIBUTOR,email@fakeuseremail.comm,FALSE,Test#123,Ginnie Mae,Contributor,Fairfax,,,,,,,,,,,,gnma.user@nothing.com,,,"GROUP_GNMA_APM_CONTRIBUTOR,site_ginnie-mae-public_SiteConsumer"
GNMA_MANAGER,GNMA,MANAGER,email@fakeuseremail.comm,FALSE,Test#123,Ginnie Mae,Manager,Fairfax,,,,,,,,,,,,gnma.user@nothing.com,,,"GROUP_GNMA_APM_MANAGER,GROUP_GNMA_APM_CONSUMER,site_ginnie-mae-public_SiteConsumer,site_ginnie-mae-public_SiteConsumer"
OCM_REMIC_COLLABORATOR,Ruby,Jones,email@fakeuseremail.comm,FALSE,Test#123,OCM_STRUCTURED_SOLUTIONS_COLLABORATOR,Chief of operations,Baltimore,325-457-9371,,,,,,,,,,,Ruby.Jones@nothing.com,,,"GROUP_OCM_STRUCTURED_SOLUTIONS_COLLABORATOR,GROUP_GNMA_APM_CONSUMER,site_ocm_SiteConsumer,site_ginnie-mae-public_SiteConsumer,GROUP_OCM_HISTORICAL_DOCUMENTS_CONSUMER"
OCM_REMIC_CONSUMER,Joseph,Green,email@fakeuseremail.comm,FALSE,Test#123,OCM_STRUCTURED_SOLUTIONS_CONSUMER,Executive,Brunswick,228-587-3964,,,,,,,,,,,Joseph.Green@nothing.com,,,"GROUP_OCM_STRUCTURED_SOLUTIONS_CONSUMER,GROUP_GNMA_APM_CONSUMER,site_ocm_SiteConsumer,site_ginnie-mae-public_SiteConsumer,GROUP_OCM_HISTORICAL_DOCUMENTS_CONSUMER"
OCM_REMIC_CONTRIBUTOR,Angela,Sanders,email@fakeuseremail.comm,FALSE,Test#123,OCM_STRUCTURED_SOLUTIONS_CONTRIBUTOR,Director,Brunswick,203-929-1729,,,,,,,,,,,Angela.Sanders@nothing.com,,,"GROUP_OCM_STRUCTURED_SOLUTIONS_CONTRIBUTOR,GROUP_GNMA_APM_CONSUMER,site_ocm_SiteConsumer,site_ginnie-mae-public_SiteConsumer,GROUP_OCM_HISTORICAL_DOCUMENTS_CONSUMER"
OCM_REMIC_MANAGER,Lawrence,Evans,email@fakeuseremail.comm,FALSE,Test#123,OCM_STRUCTURED_SOLUTIONS_MANAGER,Director,Brunswick,229-799-3039,,,,,,,,,,,Lawrence.Evans@nothing.com,,,"GROUP_OCM_STRUCTURED_SOLUTIONS_MANAGER,GROUP_GNMA_APM_CONSUMER,site_ocm_SiteConsumer,site_ginnie-mae-public_SiteConsumer,GROUP_OCM_HISTORICAL_DOCUMENTS_CONSUMER,GROUP_RECORD_CONTRIBUTORS"
OCM_GEM_COLLABORATOR,Kathryn,Gonzalez,email@fakeuseremail.comm,FALSE,Test#123,OCM_GLOBAL_EMERGING_MARKET_COLLABORATOR,Principal,Clear Spring,224-777-8771,,,,,,,,,,,Kathryn.Gonzalez@nothing.com,,,"GROUP_OCM_GLOBAL_EMERGING_MARKET_COLLABORATOR,GROUP_GNMA_APM_CONSUMER,site_ocm_SiteConsumer,site_ginnie-mae-public_SiteConsumer,GROUP_OCM_HISTORICAL_DOCUMENTS_CONSUMER"
